id,category,question,answer,score
2025_1_01,"입찰방식","다음이 설명하는 입찰방식(Bidding System)의 종류를 쓰시오. (1) 입찰참가자를 공모하여 유자격자에게 모두 참가기회를 주는 방식 (2) 해당 공사에 가장 적격하다고 인정되는 3~7개 정도의 시공회사를 선정하여 입찰시키는 방식 (3) 건축주가 가장 적합한 1개의 시공회사를 선정하여 입찰시키는 방식","(1) 공개경쟁입찰(Open Bid) (2) 지명경쟁입찰(Limited Open Bid) (3) 특명입찰(Individual Negotiation, 수의계약)",3
2025_1_02,"시공일반","BOT(Build-Operate-Transfer) 방식을 설명하시오.","사회간접시설을 민간부분이 주도하여 설계·시공한 후 일정기간 시설물을 운영하여 투자금액을 회수한 후 시설물과 운영권을 무상으로 공공부분에 이전하는 방식",3
2025_1_03,"조적공사","다음은 조적공사와 관련된 내용이다. 괄호 안을 채우시오. (1) 가로 및 세로줄눈의 너비는 도면 또는 공사시방서에서 정한 바가 없을 때에는 ( )mm를 표준으로 한다. (2) 벽돌쌓기는 도면 또는 공사시방서에서 정한 바가 없을 때에는 ( ) 또는 ( )로 한다. (3) 하루의 쌓기높이는 ( )m를 표준으로 하고, 최대 ( )m 이하로 한다.","(1) 10 (2) 영식쌓기, 화란식쌓기 (3) 1.2, 1.5",5
2025_1_04,"커튼월","금속커튼월의 성능시험관련 실물모형시험(Mock-Up Test)의 시험항목을 4가지 쓰시오.","① 기밀성능 시험 ② 수밀성능 시험 ③ 구조성능 시험 ④ 영구변형 시험",4
2025_1_05,"특수공법","SPS(Strut as Permanent System) 공법의 특징을 3가지 쓰시오.","① 가설지지체 설치 및 해체공정 불필요 ② 작업공간의 확보 유리 ③ 지반의 상태와 관계없이 시공 가능",3
2025_1_06,"기초공사","기초와 지정의 차이점을 기술하시오.","(1) 기초: 건축물의 최하부에서 건축물의 하중을 지반에 안전하게 전달시키는 구조부 (2) 지정: 기초판을 지지하기 위해서 그 아래에 설치하는 버림콘크리트, 잡석, 말뚝 등",4
2025_1_07,"방수공사","조적조를 바탕으로 하는 지상부 건축물의 외부벽면 방수방법의 내용을 3가지 쓰시오.","① 시멘트모르타르계 방수 ② 규산질계 도포 방수 ③ 발수제 도포 방수",3
2025_1_08,"창호공사","다음 표에 제시된 창호재료의 종류 및 기호를 참고하여, 아래의 창호 기호표를 표시하시오.","①WD ②WW ③SD ④SW ⑤AD ⑥AW",3
2025_1_09,"토공사","다음 용어를 간단히 설명하시오. (1) 히빙(Heaving) 현상 (2) 보일링(Boiling) 현상","(1) 히빙 현상: 흙막이벽 좌우측 토압 차로 흙이 밑으로 미끄러져 들어오는 현상 (2) 보일링 현상: 흙막이벽 뒷면 수위로 인해 바닥에서 물이 솟아오르는 현상",4
2025_1_10,"토공사","다음 평판재하시험 내용 중 ()안에 알맞은 내용을 기입하시오. 평판재하시험의 침하종료는 시험하중이 허용하중의 ( )배 이상이거나 누적 침하가 재하판 지름의 ( )%를 초과하는 경우로 한다.","(1) 3 (2) 10",4
